Keywords,Full form
AK-12,
AK-47,
AK-74,
AK-103,
Barrett M82,
AK-130,
AK-630,
Bofors,
Agni-II,
Agni-III,
Agni-IV,
Agni-P,
Arrow 2,
Arrow 4,
BrahMos-II,
BrahMos-NG,
AGM-84H SLAM-ER,
AGM-86 ALCM,
AGM-158 JASSM,
3M-54 Klub,
AIM-7 Sparrow,
AIM-9 Sidewinder,
AIM-9X,
AIM-54 Phoenix,
AIM-260 JATM,
Astra,
AGM-65 Maverick,
AGM-88 HARM,
AGM-114 Hellfire,
AGM-179 JAGM,
Akash-NG,
Barak-8,
Barak ER,
2K12 Kub,
9K33 Osa,
Abrams X,
Altay,
BMP-1,
BMP-3,
Bionix,
Bradley,
BMD-1,
BMD-2,
BMD-3,
BMD-4,
BMPT Terminator,
BTR-4,
BTR-60,
BTR-70,
BTR-80,
BTR-82A,
Bumerang,
B1 Centauro,
B-1 Lancer,
B-2 Spirit,
B-21 Raider,
B-52 Stratofortress,
AC-130 Ghostrider,
AC-130 Spectre,
Bell AH-1 Cobra,
AH-1Z Viper,
Airbus Tiger HAD,
Bayraktar USV,
Aksungur UAV,
Abhyas UAV,
Airbus A330 MRTT,
Boeing C-32,
2S1 Gvozdika,
2S3 Akatsiya,
2S7 Pion,
2S19 Msta-S,
Advanced Towed Artillery Gun System (ATAGS),
BM-21 Grad,
BM-27 Uragan,
BM-30 Smerch,
LM 400 satellite platform,
2K22 Tunguska Gun-Missile Air Defence System,
Carrier Air Defence Tracked (CADET),
National Advanced Surface-to-Air Missile System (NASAMS),
ZSU-23-4M,
Sudarshan Close-In Weapon System (CIWS),
Akash NG,
Barak 8,
S-400,
Verba VSHORADS,
FGM-148 Javelin,
Nag Missile Carrier (NAMICA),
Joint Light Tactical Vehicle (JLTV),
Casspir,
OFB Aditya,
Kalyani M4,
Armoured Light Specialist Vehicle (ALSV),
Nuclear-Biological-Chemical (NBC) Reconnaissance Vehicle,
TATA Quick Reaction Fighting Vehicle (QRFV),
Stryker Infantry Carrier Vehicle (ICV),
CAESAR 6x6,
Powered Joint Direct Attack Munition (PJDAM),
Integrated Air and Missile Defense Battle Command System (IBCS),
Combat Vehicle 90,
BMP-2 Sarath (BMP-2M),
M2A4 Bradley,
Tata Kestrel,
K9 Vajra-T,
Anvil,
Akash Tarang,
Dassault Rafale,
F-16V Viper,
F-35 Lightning II,
Tejas Mk1A,
Milkor SuperSix MRGL,
AH-64 Apache,
Amogh,
ARCHER Mobile Howitzer,
Dhanush,
M777,
AK-203,
CAR816 A2,
Carl-Gustaf M4,
Indian Small Arms System Light Machine Gun (INSAS LMG),
Indian Small Arms System Rifle (INSAS),
SIG716,
PAC-3 MSE interceptor,
Ashok Leyland Field Artillery Tractor (FAT),
Switchblade 600,
FN M240B,
Precision Strike Missile (PrSM),
Carrier Mortar Tracked (CMT),
Mahindra Airawat,
Patria NEMO,
Constellation-class FFG,
CRN-91 Naval Gun,
Kavach MOD-II,
Saab Giraffe 4A,
Guided Multiple Launch Rocket System (GMLRS),
Pinaka,
9K58 Smerch,
TOS-1A Solntsepek,
Boeing CH-47F Chinook Block II,
M4 Carbine,
Barrett MRAD,
CAPTAS-4,
Wideband Global SATCOM-12 (WGS-12),
INS Arighat (SSBN),
Scorpène,
Type 212,
Yasen-Class,
Leopard 2A8,
Arjun Main Battle Tank Mk-1A,
Challenger 3,
Leopard 2A7,
M1A2 SEPv3 Abrams,
T-72M1 Ajeya,
T-90S Bhishma,
Bhishma Mk-3,
Zorawar,
AIM-120 AMRAAM,
Coyote,
Guidance Enhanced Missile-Tactical (GEM-T),
Lower Tier Air and Missile Defense Sensor (LTAMDS),
NASAMS,
PAC-3 MSE,
RIM-161 Standard Missile 3,
Standard Missile-6 (SM-6),
ELM-2080,
ELM-2084,
IAI Harop,
IAI Harpy,
Long Range Artillery (LORA),
Mini Harpy,
K2 Black Panther,
K600 Rhino,
K808 White Tiger,
AH-64E Apache,
C-17 Globemaster III,
CH-47F Chinook,
E-2D Advanced Hawkeye,
E-7 Wedgetail,
EA-18G Growler,
F-15EX Eagle II,
F-22 raptor,
F/A-18E/F Super Hornet,
KC-46 Pegasus,
P-8 Poseidon,
T-7A Red Hawk,
V-22 Osprey,
A-50U,
Airbus A400M Atlas,
AW101,
AW149,
AW159 Wildcat,
C-390 Millennium,
CH-53K,
Dornier 228,
KAI FA-50,
H145M,
H225M,
Hindustan Turbo Trainer-40,
TAI Hürjet,
Ilyushin Il-76MD-90A,
Ka-52,
KF-21 Boramae,
Light Utility Helicopter (LUH),
Leonardo M-346 Master,
Mi-28NM,
MiG-35,
NHIndustries NH90,
Su-35 Flanker-E,
T-50 Golden Eagle,
UH-60M Black Hawk,
Autonomous Truck-Mounted Ordnance System (ATMOS),
K239 Chunmoo,
K10 Ammunition Resupply Vehicle (ARV,
K77 FDCV,
AHS Krab,
Mk 41,
Mk 45,
Panzerhaubitze 2000,
RCH 155,
Amogha-III,
Fagot Launcher Adapted to Milan Equipment (FLAME),
Konkurs-M,
Milan-2T,
Smart Anti-Airfield Weapon (SAAW),
Torpedo Advanced Light (TAL),
Varunastra,
Amphibious Assault Vehicle (AAV7),
M1 Abrams,
Amphibious Combat Vehicle (ACV),
Patria AMV XP,
GTK Boxer,
Bushmaster,
BvS10,
Centauro II,
CV90,
Eagle V,
VBM Freccia,
Hawkei,
SEPECAT Jaguar,
Leclerc Main Battle Tank (MBT),
Leopard 2,
Lynx KF41,
Marder,
Merkava Mk 4,
Namer,
Patria AMV,
Piranha,
Piranha 5,
AS21 Redback,
VBMR-L Serval,
Arquus Sherpa Light,
Stryker,
T-14 Armata,
T-90M,
VBCI,
Wisent 2,
Integrated Defence Aids Suite (IDAS),
InfraRed Imaging System Tail,
Taurus KEPD 350,
AKERON LP,
AKERON MP,
ASRAAM,
Aster 15,
Aster 30,
Brimstone,
CAMM,
CAMM-ER,
DragonFire,
Exocet,
Exocet SM40,
Land Ceptor,
Martlet,
Meteor,
MICA,
Mistral,
SCALP,
Sea Ceptor,
Sea Venom,
SPEAR,
Storm Shadow,
VL MICA,
ATACMS,
Hellfire,
HIMARS,
Javelin,
LONGBOW,
LRASM,
Joint Strike Missile (JSM),
Naval Strike Missile (NSM),
Protector MCT,
AT4,
LOKE,
NLAW,
RBS 15,
RBS 70 NG,
Trackfire,
Avante 2200,
Belharra,
F126,
FREMM,
Kormoran II,
MEKO A-200,
MEKO A-300,
MMSC,
Type 212CD,
Type 214,
Type 26,
Type 31,
Type 45,
APG-79,
APG-81,
APG-83,
BriteCloud,
Captor-E,
Ceretron,
E-LynX,
Giraffe 1X,
Giraffe AMB,
Ground Master 200 Multi-Mission Compact (GM200 MM/C),
Ground Master 200,
Ground Master 400,
Kalaetron,
MUSS,
MUSS 2.0,
Sea Fire,
Sea Giraffe,
AN/MPQ-64A4 Sentinel,
SMART-L,
SPEXER 2000,
AN/SPY-6,
AN/SPY-7,
TRML-4D,
Twinvis,
Advanced Extremely High Frequency,
COSMO-SkyMed,
LGM-35A Sentinel,
Next-Generation Overhead Persistent Infrared,
SAR-Lupe,
Wideband Global SATCOM,
Hermes 450,
Hermes 900,
Hermes 900 StarLiner,
SIGMA 155,
Skylark 3,
SkyStriker,
MQ-20 Avenger,
MQ-1C Gray Eagle,
MQ-9B,
Protector RG Mk1,
MQ-9A Reaper,
MQ-9B SeaGuardian,
MQ-9B SkyGuardian,
MQ-28 Ghost Bat,
RQ-21A Blackjack,
MQ-25 Stingray,
ScanEagle,
MQ-8 Fire Scout,
MQ-8C Fire Scout,
RQ-4 Global Hawk,
MQ-4C Triton,
X-47B,
Bayraktar AKINCI,
TUSAŞ AKSUNGUR,
ALTIUS-600,
TUSAŞ ANKA,
Bayraktar TB2,
KARAYEL,
Bayraktar KIZILELMA,
Mohajer-6,
Orbiter 4,
CAMCOPTER S-100,
Shahed-136,
Switchblade,
V-BAT,
WARMATE,
Ghost shark,
Skynet 6,
sarab,
Twinsens,
sampson,
kodiak,
RAT 31,
leguan,
F125,
Bolide,
Dardo ,
Artillery,
Rocket,
Missile,
Air Defence,
Small Arms,
Machine Guns,
Sniper,
Grenade,
Ammunition,
Loitering Munitions,
Armoured Vehicles,
Naval Platforms,
Submarines,
Naval Weapons,
Aircraft,
Helicopters,
UAV,
Radar,
Sonar,
Electronic Warfare,
C4ISR Systems,
Mortar Systems,
Combat Vehicles,
Space Systems,
Bombs,
Warheads,
Fuzes,
Explosives,
Propellants,
interceptor,
Infantry Weapons,
Anti-Tank Weapons,
Tank,
Destroyers,
Frigates,
Corvettes,
rotorcraft,
Aerospace Systems,
Land Systems,
Counter-Drone Systems,
Howitzer,
FIGHTER JET,
MRO,
Drone,
Launcher,
Naval & Shipbuilding,
Assault Rifle,
Naval Twin Gun,
Ballistic Missile (MRBM),
Air-to-Air Missile,
Anti-Radiation Missile,
Air-to-Ground Missile,
Surface-to-Air Missile,
Main Battle Tank,
Armored Personnel Carrier,
Supersonic Heavy Bomber,
Gunship Aircraft,
Unmanned Combat Aerial Vehicle,
Rocket Launcher,
Stealth Strategic Bomber,
Wheeled Tank Destroyers,
Armoured Fighting Vehicles,
Airlifter,
Anti-Ship Missile,
Rail Gun,
Pistol,
Shotgun,
Grenade Launcher,
Rocket-Propelled Grenade (RPG),
Unmanned Ground Vehicle (UGV),
Air Superiority Fighter,
Anti-Submarine,
Hypersonic Glide,
Decoy,
Amphibious Assault,
Submarine Hunter-Killer (SSN),
fire and forget,
Battle Rifle,
21strategies,21strategies  
3rdiTech,3rdiTech 
AAI,AAI Corporation
ACAC,AVIC Commercial Aircraft Engine 
ACHLEITNER,ACHLEITNER Fahrzeugbau   Germany
ACMAT,ACMAT SAS
ADE,Aeronautical Development Establishment
AECC,Aero Engine Corporation of China
AEVEX,Aevex Aerospace LLC
AIM,AIM Infrarot-Module  
AM General,AM General  
AMZ,JSC Arzamas Machine-Building Plant
AQUILA Aviation,AQUILA Aviation  
ARES,Ares 
ARESIA,ARESIA
ARTEC,ARTEC  
ARX Landsysteme,ARX Landsysteme  
ARX Robotics,ARX Robotics  
AS Strategic,AS Strategic
ASELSAN,ASELSAN Deutschland  
ATAC,Airborne Tactical Advantage Company
ATEC,ATEC  
ATLAS ELEKTRONIK,ATLAS ELEKTRONIK  
ATR,Avions de Transport Régional GIE
AUTOFLUG,AUTOFLUG  
AVIC,Aviation Industry Corporation of China
AVNL,Armoured Vehicles Nigam   
AWC,Air Weapons Complex
AWD Trucks,AWD Trucks  
AWEIL,Advanced Weapons and Equipment India   
AXISCADES,Axiscades / Mistral Solutions
Aadyah Aerospace,Aadyah Aerospace Private   
Aarav Unmanned,Aarav Unmanned Systems Private   
Aaronia,Aaronia AG
Abeking & Rasmussen,Abeking & Rasmussen Schiffs- und Yachtwerft AG
Accord Software,Accord Software and Systems
Accuracy,Accuracy International  
Adani,Adani Defence & Aerospace
Adarga,Adarga   
Addsino,Addsino Co
Admiralty Shipyards,Admiralty Shipyards
Advanced Defense Systems,Advanced Defense Systems  
Aereus,Aereus  
Aerial IQ,Aerial IQ India Pvt  
AeroVironment,AeroVironment 
Aerobits,Aerobits  
Aerodata,Aerodata AG
Aerojet Rocketdyne,Aerojet Rocketdyne  
Aerolloy,Aerolloy Technologies
Aeronautics,Aeronautics Group  
Aeros,Aeros Corporation
Aerospace CH,Aerospace CH UAV Co
Aerospace Corporation,The Aerospace Corporation
Aerospace Precision,Aerospace Precision Products Co
Aerosun,Aerosun Corporation
Affinity Flying Training,Affinity Flying Training Services   
Agnikul Cosmos,Agnikul Cosmos Private   
Airbus,Airbus SE
Airrobot,Airrobot   & Co KG
Aisino,Aisino Corporation
Akademie der Bundeswehr,Akademie der Bundeswehr für Information und Kommunikation
Aladin,Aladin  
Alenia Marconi,Alenia Marconi Systems   
Allison Transmission,Allison Transmission  
Almaz-Antey,JSC Concern VKO Almaz-Antey
Alpha,Alpha Unmanned Systems
Alpine Armoring,Alpine Armoring
Alpine Eagle,Alpine Eagle  
Alseamar,Alseamar
AlsterAero,AlsterAero  
Altair,JSC Marine Scientific Research Institute of Radioelectronics Altair
Amphenol Tuchel,Amphenol Tuchel Electronics  
Ananth,Ananth Technologies   
Anduril,Anduril Industries 
Anhui Sun Create,Anhui Sun Create Electronics
Antey,Antey Concern
Antonov,Antonov Company
Apollo Micro,Apollo Micro Systems
Argon ST,Argon ST 
ArianeGroup,ArianeGroup Defence  
Arianespace,Arianespace SA
Armormax,Armormax
Arotech,Arotech Corporation
Arquus,Arquus SAS
Aryt,Aryt Industries  
Ashok Leyland,Ashok Leyland  
Ashot Ashkelon,Ashot Ashkelon Industries  
Asteria,Asteria Aerospace   
Astra Microwave,Astra Microwave Products   
Astrium,Astrium  
Astrome,Astrome Technologies Private   
Astronautics,Astronautics Corporation of America
Athos Defence,Athos Defence  
Aubert & Duval,Aubert & Duval SAS
Austal,Austal
Autel,Autel Robotics
Avantel,Avantel   
Avasarala Technologies,Avasarala Technologies   
AviChina,AviChina Industry & Technology Company   
Aviaconversiya,Aviaconversiya LLC
Avibras,Avibras
Avilus,Avilus  
Avio Aero,Avio Aero
Avnon,Avnon Group  
Avon,Avon Technologies plc
,Avon Protection
,Azad Engineering  
,B&T AG
BAE Systems,BAE Systems plc
BBA Defence,BBA Defence Services  
BDL,Bharat Dynamics   
BEL,Bharat Electronics   
BEML,BEML   
BEW,BEW Berliner Elektronik  
BHEL,Bharat Heavy Electricals   
BIG,BIG Bavarian Industries Group  
BIRD,BIRD Aerosystems  
BMC,BMC
BMS Defence,BMS Defence Germany  
BMT,BMT Group   
BSEL,Bet Shemesh Engines
BTE Technology,BTE Technology  
BWXT,BWX Technologies
Babcock,Babcock International Group plc
Barnaul,JSC Barnaul Cartridge Plant
Barrett,Barrett Firearms Manufacturing
Bath Iron Works,Bath Iron Works Corporation
Bayern-Chemie,Bayern-Chemie  
Baykar,Baykar Technologies
Becker Avionics,Becker Avionics  
Bell Textron,Bell Textron 
Bellatrix Aerospace,Bellatrix Aerospace Private   
Beretta,Fabbrica d'Armi Pietro Beretta
Beretta Defence,Beretta Defense Technologies
Berner & Mattner,Berner & Mattner Systemtechnik  
Bertin,Bertin Technologies
Bet Shemesh Engines,Bet Shemesh Engines Holdings (1997)  
Bharat Forge,Bharat Forge  
Big Bang Boom,Big Bang Boom Solutions Private   
Blackned,Blackned  
Blighter,Blighter Surveillance Systems   
Blohm+Voss,Blohm+Voss  
BlueBird,BlueBird Aero Systems
BlueHalo,BlueHalo
Bluefin Robotics,Bluefin Robotics Corporation
Boeing,The Boeing Company
Bohai Shipbuilding,Bohai Shipbuilding Heavy Industry
BotLab Dynamics,BotLab Dynamics Private   
BrahMos,BrahMos Aerospace Pvt  
Bremer Vulkan,Bremer Vulkan Verbund AG
Britten-Norman,Britten-Norman
Buck Neue Technologien,Buck Neue Technologien  
Busch PROtective,Busch PROtective  
C G Haenel,C G Haenel  
CAE Defence,CAE Defence & Security
CAE Germany,CAE Deutschland  
CALT,China Academy of Launch Vehicle Technology
CAMCO,Central Aircraft Manufacturing Company
CAP Scientific,CAP Scientific  
CASC,China Aerospace Science and Technology Corporation
,China Aerospace Science and Industry Corporation
CATIC,China National Aero-Technology Import & Export Corporation
,CBC Defence
,CEA Technologies
CEIEC,China National Electronics Import & Export Corporation
,CFF Fluid Control
CGN,China General Nuclear Power Group Co  
CILAS,CILAS SA
CIOMP,Changchun Institute of Optics Fine Mechanics and Physics
CIRCOR Germany,CIRCOR Deutschland  
CMN,Constructions Mécaniques de Normandie SAS
CMN Naval,CMN Naval SA
CNNC,China National Nuclear Corporation
COMAC,Commercial Aircraft Corporation of China
COMEC,CSSC Offshore & Marine Engineering
CONTROP,Controp Precision Technologies  
,CORDA  
,CPI Aerostructures 
CPMIEC,China Precision Machinery Import-Export Corporation
CRON Systems,CRON Systems Private   
CS Group,CS Group SA
CSGC,China South Industries Group Corporation
CSL,Cochin Shipyard   
CSRA,CSRA Deutschland  
CSSC,China State Shipbuilding Corporation   
CTA International,CTA International SA
CZ,Česká zbrojovka (CZ)
Callen-Lenz,Callen-Lenz Associates   
,Camero-Tech  
Cammell Laird,Cammell Laird (Shiprepairers & Shipbuilders)   
Carl Walther,Carl Walther   Sportwaffen
,Carl Zeiss Defense  
,Carl Zeiss Optronics  
Carmor,Carmor Integrated Vehicle Solutions  
Carron,Carron Company
,Cassidian  
Cassidian Electronics,Cassidian Electronics  
Celsius Tech,Celsius Tech Systems  
Centigon,Centigon LLC
Centum Electronics,Centum Electronics
CerbAir,CerbAir
Changhe,Changhe Aircraft Industries Corporation  
Chemring,Chemring Group plc
Chengdu Aircraft,Chengdu Aircraft Industrial Group Co  
Chess,Chess Technologies   
Chess Dynamics,Chess Dynamics  
China SpaceSat,China SpaceSat
Cobham,Cobham   
Cohort,Cohort plc
Colt,Colt's Manufacturing Company
Colt Canada,Colt Canada
Compagnie des Forges,Compagnie des Forges et Aciéries de la Marine et d'Homécourt
Condor,Condor Tecnologias Não Letais
Condor Systems,Condor Systems  
Condor Systemtechnik,Condor Systemtechnik  
CoreEL Technologies,CoreEL Technologies
Coventry Ordnance,Coventry Ordnance Works  
Crown Group,Crown Group Defence
Crye Precision,Crye Associates LLC
Cubic,Cubic Corporation
Cubic Defence,Cubic Defence Systems  
Curtiss-Wright,Curtiss-Wright Corporation
Cyberbit,Cyberbit  
Cyient DLM,Cyient DLM   
D-Fend,D-Fend Solutions  
D3H Defence,D3H Defence  
DCD,DCD Protected Mobility
DCX Systems,DCX Systems
DEA Defence,DEA Defence  
DG Flugzeugbau,DG Flugzeugbau  
DND,Dynamit Nobel Defence  
DREHTAINER,DREHTAINER  
DRS Advanced,DRS Advanced Technologies  
DRS Defence,DRS Defense Solutions  
DRS Germany,DRS Technologies Deutschland  
DRS Naval,DRS Naval Power Systems  
DSC Berlin,DSC Berlin  
DSIT,DSIT Solutions  
Daher,Daher SA
DaimlerChrysler Aerospace,DaimlerChrysler Aerospace AG
Dalian Shipbuilding,Dalian Shipbuilding Industry Company
Dassault,Dassault Aviation SA
Data Link Solutions,Data Link Solutions LLC
Data Patterns,Data Patterns India   
DataSec Defence,DataSec Defence  
Dedrone,Dedrone  
Defense Systems,JSC Defense Systems
Defsys Solutions,Defsys Solutions
Degtyarev,Degtyarev Plant
Delair,Delair SAS
Delta Scientific,Delta Scientific Corporation
Denel,Denel
Deployables Cubed,Deployables Cubed  
Dhaksha,Dhaksha Unmanned Systems Pvt  
Dhruva Space,Dhruva Space Private   
Diamond Aircraft,Diamond Aircraft Industries  
Diehl,Diehl Defence   & Co. KG
Digantara,Digantara Research and Technologies Private   
Donaustahl,Donaustahl  
Dornier,Dornier  
Drogo Aerospace,Drogo Aerospace Pvt  
DroneShield,DroneShield  .
Dux,JSC Dux
Dynamatic Technologies,Dynamatic Technologies
Dynetics,Dynetics 
EADS Deutschland,EADS Deutschland  
EADS Test,EADS Test and Technology  
ECA Group,ECA Group  
ECA Robotics,ECA Robotics  
ECIL,Electronics Corporation of India   
ECS,Enterprise Control Systems  
EDS Technologies,EDS Technologies  
EFW,EFW Elbe Flugzeugwerke  
ELAC Nautik,ELAC Nautik  
ELAC SONAR,ELAC SONAR  
ELOP,Elbit Systems Electro-Optics / ELOP
ELT Group,ELT Group  
EMT,EMT Ingenieurgesellschaft Dipl-Ing Hartmut Euer mbH
ENSCO,ENSCO 
EO Systems,EO Systems  
EOS,EOS   Electro Optical Systems
ESG,ESG Elektroniksystem und Logistik  
ESG HENSOLDT,ESG / HENSOLDT Multi Domain Solutions
ESG Softwaretechnik,ESG Softwaretechnik  
ESW,ESW  
EURO ENGINEERING,EURO ENGINEERING AG
EXPAL,EXPAL Systems
Economic Explosives,Economic Explosives    
Elbit Systems,Elbit Systems  
Elecon Engineering,Elecon Engineering
Electronic Defense Laboratories,Electronic Defense Laboratories
Elettronica,Elettronica
Elistair,Elistair SAS
Elmo,Elmo Motion Control
EloKa Technologie,EloKa Technologie  
Elsinore Defence,Elsinore Defence  
Elzéar Defense,Elzéar Defense SAS
Embraer Defence,Embraer Defence & Security
Emtan,Emtan Karmiel  
EndureAir,EndureAir Systems Private   
Escribano,Escribano Mechanical and Engineering
Esterline,Esterline Technologies Corporation
Eurenco,Eurenco SA
EuroDASS,EuroDASS consortium Germany
EuroSpike,EuroSpike  
EuroTRUST,EuroTRUST  
EuroTorp,EuroTorp SAS
EuroTrophy,EuroTrophy  
Euroatlas,Euroatlas  
Eurocopter,Eurocopter Deutschland  
Eurofighter,Eurofighter Jagdflugzeug  
Eurojet,Eurojet Turbo  
Euromissile,Euromissile GIE
Euronaval,Euronaval  
Europrop,EPI Europrop International  
Euroradar,Euroradar  
Eurosam,Eurosam GIE
Exail,Exail Technologies SAS
Exicom,Exicom
Exolaunch,Exolaunch  
Exosens,Exosens SA
Expal Deutschland,Expal Systems Deutschland  
Extra Aircraft,Extra Aircraft   & Co KG
EyeROV,IROV Technologies Private   
FAAC,FAAC Incorporated
FAUDI Aviation,FAUDI Aviation  
FFG,FFG Flensburger Fahrzeugbau Gesellschaft mbH
FFV,FFV Ordnance
FLIR,Teledyne FLIR LLC
FLIR Germany,FLIR Systems  
FMS Migun,F M S Enterprises Migun  
FMV Industry,FMV Industry Partners
FN America,FN America LLC
FN Herstal,FN Herstal S.A
FNSS,FNSS Defence Systems
Fauré Le Page,Fauré Le Page Paris SAS
Filtronic,Filtronic plc
Fincantieri,Fincantieri
First Defence,First Defence  
Flensburger Schiffbau,Flensburger Schiffbau-Gesellschaft mbH & Co KG
